areaSqm,longitude,latitude,propertyType,rent
62,5.917064,51.990718,Apartment,950
16,5.982207,50.882583,Room,285
75,4.282492,52.075111,Apartment,860
17,4.663018,51.810703,Room,350
17,5.675184,50.846211,Room,395
21,5.91723,51.981034,Room,395
26,4.31785,52.080908,Studio,495
25,5.858817,51.844478,Room,478
120,4.49549,51.984604,Apartment,1600
10,4.592372,51.935218,Room,500
22,6.561096,53.231064,Studio,550
15,4.822207,52.356543,Room,600
25,6.658301,52.355424,Studio,600
138,5.716406,51.816647,Room,1250
8,4.868015,52.328565,Room,550
65,4.892903,52.376235,Apartment,1650
23,5.088866,51.550734,Room,360
26,5.905678,52.002677,Studio,395
15,5.411778,52.193258,Room,475
50,4.611016,52.368732,Studio,750
10,4.379172,52.007842,Room,400
50,5.115883,52.068649,Apartment,1000
24,4.780203,52.342163,Room,600
25,4.418741,51.91731,Room,510
60,4.495544,52.157178,Apartment,550
65,4.848976,52.378974,Apartment,1500
21,4.501968,51.92961,Room,500
16,4.482336,51.945019,Room,400
14,4.485049,52.158203,Room,310
18,6.903935,52.21586,Room,330
8,5.09918,52.066774,Room,500
10,4.906745,52.343868,Room,480
35,4.339197,52.008377,Room,650
35,5.846993,51.838232,Studio,810
11,4.351079,52.0022,Room,300
50,5.104215,52.108683,Apartment,1250
65,5.485881,51.432386,Apartment,495
18,5.674688,50.849995,Room,408
12,5.072046,52.029887,Room,450
12,4.833966,52.452743,Room,600
281,5.335224,51.580378,Apartment,90
29,5.956267,51.984694,Apartment,560
52,4.476467,52.052934,Apartment,800
50,4.476467,52.052934,Apartment,805
50,4.668564,51.808195,Apartment,800
48,4.668564,51.808195,Apartment,738
49,4.546551,51.93943,Apartment,805
48,4.546551,51.93943,Apartment,800
69,4.545859,51.94764,Apartment,935
80,4.545859,51.94764,Apartment,1008
100,5.084557,51.558802,Apartment,1150
16,4.485241,51.914954,Room,570
10,4.719546,52.015414,Room,292
12,6.914643,52.226017,Room,320
20,4.358473,51.983657,Room,600
24,4.942875,52.368366,Room,700
12,5.077102,52.114136,Room,360
10,4.911822,52.344914,Room,500
15,4.476739,51.943182,Room,550
25,5.797605,53.207279,Room,350
27,6.596986,53.226107,Studio,785
17,5.977723,50.883513,Room,305
12,4.499243,51.898356,Room,425
9,4.451873,51.920423,Room,360
17,4.621086,51.969805,Room,500
50,5.315391,51.689649,Apartment,1100
110,5.6909,50.850368,Apartment,1500
30,5.693099,50.85127,Apartment,590
68,5.699283,50.851113,Apartment,775
32,4.852065,52.357641,Studio,670
25,4.776762,52.633315,Studio,609
12,4.788503,52.348165,Room,550
70,6.330282,53.036066,Apartment,850
30,5.096539,52.102534,Room,550
9,4.828112,52.373063,Room,650
25,4.829155,52.242677,Room,447
17,4.337635,52.00954,Room,330
17,6.554888,53.209818,Room,420
10,5.081921,51.558239,Room,275
21,3.571869,51.449372,Room,360
11,3.573295,51.448229,Room,292
18,5.646754,51.966191,Room,365
11,3.570942,51.44824,Room,297
21,3.571869,51.449372,Room,360
50,4.858321,52.370809,Room,950
16,5.794322,53.197402,Room,290
12,5.498053,51.770098,Room,450
18,4.352052,52.012348,Room,499
21,5.154418,52.352302,Room,675
14,5.86736,51.833435,Room,385
16,5.09327,51.567029,Room,350
12,6.874264,52.207966,Room,340
24,5.870699,51.837974,Room,441
35,4.899543,52.362452,Studio,1250
20,5.33591,51.700553,Room,458
47,4.837325,52.371871,Apartment,980
16,4.93015,52.364805,Room,800
16,4.861681,52.360528,Studio,800
12,4.279178,52.068633,Room,450
14,4.497575,51.925003,Room,400
24,4.986212,52.316078,Room,1000
12,4.792967,52.382472,Room,550
19,5.933369,51.97819,Room,492
