,areaSqm,latitude,longitude,propertyType,rent,shared
3043,18,51.438846000000005,5.4942839999999995,Room,650,1
3044,18,52.062262,4.319863,Room,370,0
3045,90,52.062262,4.319863,Apartment,1850,0
3046,19,52.063034,4.3213029999999995,Room,385,0
3047,114,52.063034,4.3213029999999995,Apartment,2320,0
3048,100,52.062036,4.319425,Apartment,1900,0
3049,20,52.062036,4.319425,Room,380,0
3050,90,52.091302,5.110244000000001,Apartment,1450,0
3051,90,52.090732,5.099117,Apartment,1450,0
3052,65,51.994448,5.09146,Apartment,845,0
3053,55,52.444869999999995,4.82514,Apartment,1200,0
3054,27,52.215659,5.977776,Room,339,0
3055,60,52.329008,4.962373,Apartment,1390,0
3056,20,51.568678000000006,5.047897,Studio,540,0
3057,20,51.978755,4.341632,Room,500,0
3058,12,52.381059,4.802558,Room,650,1
3059,14,52.219542,6.901071000000001,Room,316,1
3060,15,53.209576,6.582674000000001,Room,325,1
3061,13,51.564431,5.04916,Room,425,0
3062,23,51.479195000000004,5.659827,Studio,695,0
3063,80,52.036460999999996,4.317169,Apartment,1300,0
3064,50,52.382062,4.881627,Apartment,1725,0
3065,70,50.854936,5.706233,Apartment,1065,0
3066,24,51.933594,4.4736650000000004,Room,412,1
3067,18,51.731466999999995,5.302706,Room,400,1
3068,15,52.356206,4.892086,Room,630,1
3069,16,52.314981,5.028597,Room,650,1
3070,12,52.35698,4.900446,Room,625,1
3071,11,52.028717,4.273875,Room,475,1
3072,12,52.218834,6.872744,Room,230,1
3073,7,52.354721999999995,4.925508,Room,500,1
3074,12,52.391993,4.6384300000000005,Room,413,1
3075,20,52.214874,6.906933,Room,290,1
3076,10,52.354314,4.876949,Room,500,1
3077,17,53.20221899999999,5.810123,Room,350,1
3078,22,52.270178,6.805223,Room,395,1
3079,72,53.221153,6.582053999999999,Apartment,1275,0
3080,20,52.268197,6.8058320000000005,Room,425,1
3081,16,52.084447999999995,4.331588,Room,670,1
3082,85,52.220040000000004,6.897978999999999,Apartment,995,0
3083,10,52.352878999999994,4.83139,Room,800,0
3084,28,52.199678000000006,5.0136389999999995,Room,500,1
3085,62,51.194451,6.00378,Anti-squat,240,0
3086,80,52.218878000000004,6.897182000000001,Apartment,995,0
3087,14,52.357698,4.807989,Room,750,1
3088,75,52.220084,6.896382000000001,Apartment,895,0
3089,16,51.811496000000005,5.793936,Room,350,1
3090,21,52.195396,6.884955000000001,Room,350,0
3091,23,50.849025,5.675459,Room,425,0
3092,43,50.849025,5.675459,Studio,600,0
3093,28,53.202146,5.7832230000000004,Room,400,1
3094,18,53.202146,5.7832230000000004,Room,350,1
3095,18,53.202146,5.7832230000000004,Room,350,1
3096,13,53.202146,5.7832230000000004,Room,325,1
3097,16,53.202146,5.7832230000000004,Room,350,1
3098,17,53.204429000000005,5.810822,Room,341,0
3099,60,51.370793,6.177465,Apartment,492,0
3100,10,51.923769,4.484525,Room,550,1
3101,25,51.924774,4.48434,Room,750,1
3102,135,52.273088,6.7920940000000005,Apartment,715,0
3103,70,52.267897,5.190018,Apartment,1150,0
3104,111,51.919858000000005,4.487038,Apartment,1995,0
3105,16,52.011012,4.353455,Room,480,1
3106,16,53.203033999999995,5.801813,Room,400,1
3107,13,51.915786,4.484782,Room,520,1
3108,15,51.925715000000004,4.489240000000001,Room,536,1
3109,15,52.112246999999996,5.119406,Room,700,1
3110,25,51.575178,5.086263,Studio,615,0
3111,20,51.562761,5.099907,Studio,650,0
3112,15,51.57162,5.096007,Studio,525,0
3113,18,52.71376600000001,4.799771,Room,400,1
3114,17,51.925715000000004,4.489240000000001,Room,570,1
3115,24,52.391684000000005,5.268237,Studio,600,1
3116,16,51.924954,4.490238,Room,515,1
3117,17,51.924676,4.489504,Room,530,1
3118,90,52.281698999999996,4.788399,Apartment,1450,0
3119,100,52.648444,4.767842,Apartment,1200,0
3120,42,52.199311,5.959854,Apartment,550,0
3121,100,52.352270000000004,4.835472,Apartment,1950,0
3122,14,52.198127,6.884773,Room,400,0
3123,90,51.686095,5.306408,Apartment,1495,0
3124,59,51.920581,4.452621,Apartment,1150,0
3125,9,52.218105,5.1731370000000005,Room,400,1
3126,40,52.366093,4.5716019999999995,Apartment,625,1
3127,15,51.56445,5.078202,Room,280,1
3128,20,53.221625,6.5495,Room,410,1
3129,60,50.888681,5.979275,Apartment,590,0
3130,9,52.377352,4.8056790000000005,Room,650,1
3131,14,52.219851,6.893835,Room,350,1
3132,16,52.272356,6.813339999999999,Room,296,1
3133,15,51.450053000000004,3.5813230000000003,Room,330,1
3134,13,51.450053000000004,3.5813230000000003,Room,320,1
3135,7,51.817083000000004,5.846359,Room,350,1
3136,16,51.944427000000005,4.540114,Room,500,0
3137,20,53.224911999999996,6.5636589999999995,Room,400,1
3138,25,52.139428,4.465425,Studio,550,0
3139,16,52.240105,4.8006839999999995,Room,450,1
3140,20,52.221503000000006,6.898802000000001,Room,268,1
3141,25,52.214694,6.869603,Room,320,1
3142,32,51.851377,4.506254,Room,500,1
3143,16,52.255359000000006,6.184669,Room,450,1
3144,15,52.345589000000004,4.864387000000001,Room,725,1
3145,14,52.237228,4.755668,Room,375,0
3146,20,51.96253,6.264586,Room,405,1
3147,12,52.157134,4.496504,Room,280,1
3148,13,52.008235,4.373774,Room,350,0
3149,20,50.885131,5.9755080000000005,Room,375,0
3150,16,52.251177,6.849624,Room,320,1
3151,100,52.375078,4.809372,Apartment,1200,0
3152,15,53.199687,5.797274,Room,350,1
3153,12,53.197825,6.58403,Room,280,1
3154,12,53.197825,6.58403,Room,300,1
3155,17,53.217985999999996,6.55807,Room,365,1
3156,65,52.364785999999995,4.877979,Apartment,1875,0
3157,30,52.326376,4.959675,Studio,500,0
3158,15,51.56445,5.078202,Room,280,1
3159,35,52.457809,4.623372,Studio,750,0
3160,21,52.395019,5.309648999999999,Room,289,1
3161,30,51.953621999999996,6.141986,Apartment,675,0
3162,20,52.204592,6.887753,Room,400,1
3163,11,52.39196,4.914406,Room,675,1
3164,20,52.405136999999996,4.930749,Room,800,1
3165,16,52.219851,6.893835,Room,370,0
3166,16,52.061895,4.301252,Room,340,0
3167,100,51.942552,6.1367769999999995,Anti-squat,558,0
3168,70,52.350971,4.89093,Apartment,1850,0
3169,115,52.061895,4.301252,Apartment,2390,0
3170,20,51.988453,4.346680999999999,Room,450,1
3171,10,53.198838,6.574938,Room,280,1
3172,10,52.352878999999994,4.83139,Room,800,0
3173,12,51.922839,4.509398,Room,385,1
3174,10,53.222536,6.564544000000001,Room,418,1
3175,18,51.008347,5.871811,Room,450,1
3176,22,52.077723,6.229356,Room,495,1
3177,8,51.964843,5.66144,Room,275,1
3178,50,51.834917,5.973744,Apartment,750,0
3179,13,52.006879999999995,4.353594999999999,Room,300,1
3180,24,52.360359,4.927395,Studio,925,1
3181,15,52.010364,4.351475,Room,292,1
3182,14,52.219542,6.901071000000001,Room,400,1
3183,20,52.216553000000005,6.894798,Room,480,1
3184,9,52.357698,4.807989,Room,600,1
3185,16,51.984797,5.914493,Room,424,0
3186,30,51.575159,5.076035,Apartment,599,0
3187,96,51.890243,4.484095,Apartment,1395,0
3188,16,52.379717,4.855825,Room,450,1
3189,35,53.213028,6.5496099999999995,Room,595,1
3190,10,53.198601000000004,5.804373,Room,282,0
3191,8,52.343761,4.91162,Room,675,1
3192,20,52.228407000000004,6.9108979999999995,Room,235,1
3193,20,52.214228000000006,5.961723,Studio,420,0
